id_index,level,occ,race,server_id,deposit_year,deposit_his,role_count,'prediction margin','predicted class',class
392,130,16,0,1034,1378,12397,1,-1,N,?
393,130,6,0,1083,2720,2720,1,-1,N,?
394,130,12,0,1034,1590,1590,1,-1,N,?
395,5,17,0,1054,40,40,5,-1,N,?
396,6,1,0,1054,40,40,5,0.99698,Y,?
397,5,2,0,1054,40,40,5,0.999235,Y,?
398,76,3,0,1054,40,40,5,0.973648,Y,?
399,130,18,0,1054,40,40,5,-1,N,?
400,130,20,0,1083,9850,12508,1,-1,N,?
401,120,2,0,1034,21,21,1,0.040228,Y,?
402,130,2,0,1078,260,430,1,-1,N,?
403,130,10,0,1007,20,50,2,-0.996345,N,?
404,26,20,0,1078,20,50,2,-1,N,?
405,130,12,0,1083,188,29467,1,-1,N,?
406,130,7,0,1018,0,1140,1,-1,N,?
407,130,16,0,1022,0,1250,1,-1,N,?
408,89,13,0,1083,0,0,5,-0.999711,N,?
409,89,19,0,1083,0,0,5,-1,N,?
410,89,18,0,1083,0,0,5,-1,N,?
411,96,20,0,1083,0,0,5,-1,N,?
412,111,6,0,1083,0,0,5,0.810294,Y,?
413,108,16,0,1007,0,1070,1,-1,N,?
414,100,16,0,1048,0,0,1,-1,N,?
415,130,5,1,1083,0,552,1,-1,N,?
416,130,5,1,1034,0,0,1,0.999816,Y,?
417,130,5,0,1034,0,90,2,-0.585116,N,?
418,130,5,1,1007,160,160,1,-0.995261,N,?
419,130,5,1,1056,6,1673,1,-1,N,?
420,130,5,1,1048,0,100,1,0.998133,Y,?
421,130,5,0,1048,30,30,6,0.843484,Y,?
422,130,5,1,1018,0,0,1,0.998297,Y,?
423,103,12,0,1007,0,0,2,-0.999736,N,?
424,130,16,0,1007,0,0,2,-1,N,?
425,130,10,0,1007,0,1197,1,-1,N,?
426,130,2,0,1019,0,0,1,-0.917957,N,?
427,54,12,0,1018,0,0,1,-0.930271,N,?
428,130,16,0,1056,0,17970,1,-1,N,?
429,130,6,0,1007,0,2545,2,-1,N,?
430,12,14,0,1007,0,2545,2,-1,N,?
431,110,20,0,1022,0,0,1,-1,N,?
432,130,10,0,1007,0,65,1,-0.997361,N,?
433,130,16,0,1007,0,316,1,-1,N,?
434,130,16,0,1018,0,90497,1,-1,N,?
435,13,1,0,1019,0,0,1,0.958213,Y,?
436,130,3,0,1018,0,19962,1,-1,N,?
437,106,14,0,1022,0,0,2,-1,N,?
438,81,6,0,1022,0,0,2,0.82972,Y,?
439,86,6,0,1034,0,110,4,0.987556,Y,?
440,68,1,0,1034,0,110,4,0.952378,Y,?
441,130,6,1,1034,0,110,4,0.999921,Y,?
442,20,6,1,1034,0,110,4,1,Y,?
443,130,2,0,1034,180,2576,2,-1,N,?
444,130,6,0,1034,180,2576,2,-1,N,?
445,25,2,0,1007,160,202,1,-0.999635,N,?
446,10,19,0,1034,60,1158,1,-1,N,?
447,130,6,0,1056,30,30,1,-0.740884,N,?
448,130,11,0,1078,13869,13869,1,-1,N,?
449,75,7,0,1078,150,770,2,-1,N,?
450,75,14,1,1078,150,770,2,-1,N,?
451,130,2,0,1007,9450,110911,1,-1,N,?
452,130,18,0,1048,60,268,1,-1,N,?
453,130,2,0,1007,113,3304,1,-1,N,?
454,130,16,0,1022,50,8787,1,-1,N,?
455,130,16,0,1083,1203,1203,1,-1,N,?
456,130,12,0,1018,200,200,1,-1,N,?
457,130,12,0,1007,6,36,1,-0.999979,N,?
458,13,18,0,1034,0,3228,6,-1,N,?
459,75,20,0,1022,0,3228,6,-1,N,?
460,11,16,0,1034,0,3228,6,-1,N,?
461,129,16,0,1034,0,3228,6,-1,N,?
462,117,16,0,1022,0,3228,6,-1,N,?
463,11,16,0,1022,0,3228,6,-1,N,?
464,89,18,0,1034,0,0,1,-1,N,?
465,130,16,0,1007,0,42,1,-1,N,?
466,35,20,1,1007,0,0,1,-1,N,?
467,130,16,0,1078,0,50,1,-1,N,?
468,105,8,1,1056,0,0,1,0.998333,Y,?
469,130,6,0,1018,0,29647,1,-1,N,?
470,130,12,0,1018,0,525,1,-1,N,?
471,130,2,0,1048,0,2150,1,-1,N,?
472,130,6,0,1007,30,1580,1,-1,N,?
473,130,1,0,1034,10,7135,1,-1,N,?
474,127,1,0,1078,16,16,1,-0.969455,N,?
475,111,18,0,1034,0,0,3,-1,N,?
476,101,10,0,1034,0,0,3,-0.932065,N,?
477,91,1,0,1034,0,0,3,-0.142,N,?
478,130,16,0,1018,0,5524,1,-1,N,?
479,130,1,0,1018,0,3339,1,-1,N,?
480,105,20,0,1019,0,0,2,-1,N,?
481,3,2,0,1019,0,0,2,0.995169,Y,?
482,130,2,0,1018,0,30,1,-0.917083,N,?
483,130,16,0,1007,421,1831,1,-1,N,?
484,130,10,0,1018,0,5528,1,-1,N,?
485,32,4,0,1034,0,0,1,0.991372,Y,?
486,130,2,0,1048,0,7705,1,-1,N,?
487,130,3,0,1034,0,0,1,0.078425,Y,?
488,130,6,0,1018,0,3710,1,-1,N,?
489,130,12,1,1034,0,0,1,-0.911917,N,?
490,130,6,0,1056,400,3420,2,-1,N,?
491,130,16,0,1056,400,3420,2,-1,N,?
492,130,2,0,1022,0,253,1,-0.999889,N,?
493,130,20,0,1048,0,17064,1,-1,N,?
494,130,6,0,1034,0,21315,1,-1,N,?
495,130,2,0,1018,0,0,1,-0.916527,N,?
496,130,4,0,1018,0,770,1,-1,N,?
497,130,6,0,1018,0,8543,1,-1,N,?
498,130,2,0,1007,0,1420,1,-1,N,?
499,130,6,0,1056,127050,152830,1,-1,N,?
500,4,1,0,1007,388,388,1,-0.999675,N,?
501,130,2,0,1048,0,12786,1,-1,N,?
502,88,20,1,1083,0,0,8,-1,N,?
503,88,20,1,1083,0,0,8,-1,N,?
504,88,20,1,1083,0,0,8,-1,N,?
505,88,20,1,1083,0,0,8,-1,N,?
506,88,20,1,1083,0,0,8,-1,N,?
507,88,20,1,1083,0,0,8,-1,N,?
508,88,20,1,1083,0,0,8,-1,N,?
509,88,20,1,1083,0,0,8,-1,N,?
510,16,1,0,1054,0,0,1,0.945782,Y,?
511,123,1,0,1034,0,0,1,-0.673711,N,?
512,112,6,0,1018,0,0,1,-0.144264,N,?
513,130,4,0,1018,0,0,1,-0.683358,N,?
514,130,2,0,1018,0,0,1,-0.38259,N,?
515,130,16,0,1018,0,738,2,-1,N,?
516,118,9,0,1018,0,738,2,-1,N,?
517,117,17,0,1007,0,4045,1,-1,N,?
518,129,1,0,1034,0,0,1,-0.762372,N,?
519,130,7,0,1018,0,0,2,-0.787472,N,?
520,115,6,0,1018,0,0,2,-0.108505,N,?
521,130,6,0,1048,0,0,1,-0.736011,N,?
522,130,6,0,1007,0,756,2,-1,N,?
523,130,6,0,1007,0,756,2,-1,N,?
524,130,17,0,1018,0,100,1,-1,N,?
525,10,2,0,1007,0,0,3,0.997166,Y,?
526,91,2,0,1007,0,0,3,0.550442,Y,?
527,130,17,0,1007,0,0,3,-1,N,?
528,130,10,0,1007,30,30,1,-0.997338,N,?
529,130,6,0,1018,510,510,1,-1,N,?
530,130,2,0,1019,50,100,2,-0.889916,N,?
531,130,16,0,1034,50,100,2,-1,N,?
532,130,6,1,1007,58,183,1,0.166631,Y,?
533,129,2,0,1007,31,41,1,-0.898078,N,?
534,8,2,0,1007,30,1667,2,-1,N,?
535,130,16,0,1007,30,1667,2,-1,N,?
536,130,16,0,1007,60,190,1,-1,N,?
537,118,2,0,1034,50,50,1,0.123019,Y,?
538,5,2,0,1083,200,200,4,-0.996684,N,?
539,128,2,0,1078,200,200,4,-0.999999,N,?
540,36,2,0,1083,200,200,4,-0.999449,N,?
